form_version,indicator,type_entry,year,status_data,type_data,metadata_update,disaggregation_1,disaggregation_1_name,disaggregation_2,disaggregation_2_name,geo_disaggregation/constraint,geo_disaggregation/range,geo_disaggregation/PHI,geo_disaggregation/PHI_validation,geo_disaggregation/NCR,geo_disaggregation/NCR_validation,geo_disaggregation/CAR,geo_disaggregation/CAR_validation,geo_disaggregation/R01,geo_disaggregation/R01_validation,geo_disaggregation/R02,geo_disaggregation/R02_validation,geo_disaggregation/R03,geo_disaggregation/R03_validation,geo_disaggregation/CAL,geo_disaggregation/CAL_validation,geo_disaggregation/MIM,geo_disaggregation/MIM_validation,geo_disaggregation/R05,geo_disaggregation/R05_validation,geo_disaggregation/R06,geo_disaggregation/R06_validation,geo_disaggregation/NIR,geo_disaggregation/NIR_validation,geo_disaggregation/R07,geo_disaggregation/R07_validation,geo_disaggregation/R08,geo_disaggregation/R08_validation,geo_disaggregation/R09,geo_disaggregation/R09_validation,geo_disaggregation/R10,geo_disaggregation/R10_validation,geo_disaggregation/R11,geo_disaggregation/R11_validation,geo_disaggregation/R12,geo_disaggregation/R12_validation,geo_disaggregation/R13,geo_disaggregation/R13_validation,geo_disaggregation/ARM,geo_disaggregation/ARM_validation,geo_disaggregation/BAR,geo_disaggregation/BAR_validation,geo_disaggregation/total_regions,geo_disaggregation/unit,metadata/national_definition,metadata/method_computation_national_method,metadata/data_compiler,metadata/activity_source,metadata/frequency,metadata/schedule_release,metadata/data_disaggregation_required,metadata/data_disaggregation_available,metadata_revision_h1/metadata_revision_national_definition,metadata_revision_h1/metadata_revision_method_computation_national_method,metadata_revision_h1/metadata_revision_data_compiler,metadata_revision_h1/metadata_revision_activity_source,metadata_revision_h1/metadata_revision_frequency,metadata_revision_h1/metadata_revision_schedule_release,metadata_revision_h1/remarks,submission_details/id_submitter,submission_details/ref_submitter_agency,submission_details/ref_submitter_unit,submission_details/ref_submitter_position,submission_details/submission_date,submission_details/submission_notes,start,end,device_id,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_last_edited_by,_total_media,_media_count,_media_all_received,_xform_id
form_version,Indicator,Is there an update/revision on this indicator?,Year,What is the status of the data to be submitted?,Is this preliminary or final data?,Do you also need to update the metadata?,Disaggregation 1,disaggregation_1_name,Disaggregation 2,disaggregation_2_name,constraint,range,Philippines,PHI_validation,NCR,NCR_validation,CAR,CAR_validation,Region I,R01_validation,Region II,R02_validation,Region III,R03_validation,CALABARZON,CAL_validation,MIMAROPA,MIM_validation,Region V,R05_validation,Region VI,R06_validation,Negros Island Region,NIR_validation,Region VII,R07_validation,Region VIII,R08_validation,Region IX,R09_validation,Region X,R10_validation,Region XI,R11_validation,Region XII,R12_validation,Caraga,R13_validation,ARMM (Until 2021),ARM_validation,BARMM (Starting 2022),BAR_validation,total_regions,unit,national_definition,method_computation_national_method,data_compiler,activity_source,frequency,schedule_release,data_disaggregation_required,data_disaggregation_available,National Definition,National Method,Data Compiler,Activity/Document Source,Frequency (Periodicity) of Release,Schedule of Release,Remarks,Submitted by,ref_submitter_agency,ref_submitter_unit,ref_submitter_position,As of date,Notes,start,end,Device ID,instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_last_edited_by,_total_media,_media_count,_media_all_received,_xform_id
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2015,n/a,n/a,n/a,Both Sexes,Sex,n/a,n/a,n/a,n/a,23.5,n/a,4.1,n/a,22.7,n/a,18.8,n/a,17.8,n/a,10.5,n/a,12.5,n/a,25.2,n/a,39.9,n/a,19.3,n/a,36.8,n/a,25.2,n/a,41.3,n/a,37.7,n/a,38.7,n/a,23.5,n/a,37.7,n/a,39.7,n/a,58.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:84b5193c-d4fe-4f1f-9daa-859582f3e307,9235864,84b5193c-d4fe-4f1f-9daa-859582f3e307,2025-04-04T05:42:36.011854+00:00,2025-04-04T05:42:36.471668+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2018,n/a,n/a,n/a,Both Sexes,Sex,n/a,n/a,n/a,n/a,16.7,n/a,2.2,n/a,12.0,n/a,9.9,n/a,16.3,n/a,7.0,n/a,7.1,n/a,15.1,n/a,27.0,n/a,14.2,n/a,21.0,n/a,16.1,n/a,30.7,n/a,32.7,n/a,23.1,n/a,19.1,n/a,27.3,n/a,30.5,n/a,60.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:7b185f3f-f6b4-4ed5-b98a-d4d018e93afb,9235865,7b185f3f-f6b4-4ed5-b98a-d4d018e93afb,2025-04-04T05:42:36.684815+00:00,2025-04-04T05:42:36.932597+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2021,n/a,n/a,n/a,Both Sexes,Sex,n/a,n/a,n/a,n/a,18.1,n/a,3.5,n/a,9.9,n/a,14.4,n/a,15.4,n/a,11.4,n/a,10.2,n/a,20.8,n/a,29.3,n/a,17.2,n/a,23.6,n/a,27.6,n/a,28.9,n/a,30.1,n/a,26.1,n/a,16.8,n/a,27.3,n/a,33.2,n/a,35.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:feaeb2f3-c928-4bd2-adf5-9cc41a94ee37,9235866,feaeb2f3-c928-4bd2-adf5-9cc41a94ee37,2025-04-04T05:42:37.374358+00:00,2025-04-04T05:42:37.741060+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2023,n/a,n/a,n/a,Both Sexes,Sex,n/a,n/a,n/a,n/a,15.5,n/a,1.8,n/a,7.0,n/a,11.9,n/a,10.4,n/a,8.2,n/a,7.9,n/a,23.0,n/a,27.5,n/a,13.7,n/a,28.9,n/a,17.3,n/a,27.3,n/a,31.7,n/a,25.3,n/a,16.0,n/a,23.1,n/a,20.8,n/a,32.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:e291a0b0-ac4f-4332-b360-5dce79fb8d90,9235867,e291a0b0-ac4f-4332-b360-5dce79fb8d90,2025-04-04T05:42:37.824452+00:00,2025-04-04T05:42:38.459829+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2015,n/a,n/a,n/a,Female,Sex,n/a,n/a,n/a,n/a,23.9,n/a,4.3,n/a,23.6,n/a,18.3,n/a,17.7,n/a,10.8,n/a,13.0,n/a,26.8,n/a,39.9,n/a,20.3,n/a,36.5,n/a,26.3,n/a,41.5,n/a,36.3,n/a,39.4,n/a,24.6,n/a,38.3,n/a,39.6,n/a,61.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:4c6eb7b7-652b-4b84-aa12-8a891829a8ee,9235868,4c6eb7b7-652b-4b84-aa12-8a891829a8ee,2025-04-04T05:42:38.549426+00:00,2025-04-04T05:42:38.814872+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2018,n/a,n/a,n/a,Female,Sex,n/a,n/a,n/a,n/a,16.6,n/a,2.3,n/a,11.9,n/a,10.1,n/a,16.2,n/a,7.0,n/a,7.2,n/a,15.2,n/a,26.4,n/a,13.9,n/a,21.1,n/a,15.7,n/a,30.3,n/a,32.6,n/a,22.9,n/a,19.0,n/a,26.9,n/a,30.4,n/a,60.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:4893ba37-4247-4563-adbc-2d7e6df18562,9235869,4893ba37-4247-4563-adbc-2d7e6df18562,2025-04-04T05:42:38.949046+00:00,2025-04-04T05:42:39.569009+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2021,n/a,n/a,n/a,Female,Sex,n/a,n/a,n/a,n/a,18.3,n/a,3.6,n/a,10.3,n/a,14.6,n/a,15.5,n/a,11.9,n/a,10.7,n/a,21.8,n/a,30.5,n/a,17.1,n/a,23.9,n/a,27.8,n/a,29.3,n/a,29.7,n/a,25.8,n/a,17.1,n/a,27.7,n/a,33.6,n/a,35.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:fe4cdae4-af66-42d6-9986-af1ced5c4bce,9235870,fe4cdae4-af66-42d6-9986-af1ced5c4bce,2025-04-04T05:42:39.651318+00:00,2025-04-04T05:42:40.247717+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2023,n/a,n/a,n/a,Female,Sex,n/a,n/a,n/a,n/a,15.6,n/a,1.9,n/a,7.1,n/a,12.5,n/a,10.3,n/a,8.3,n/a,8.0,n/a,23.9,n/a,28.3,n/a,13.8,n/a,28.7,n/a,17.8,n/a,27.9,n/a,31.2,n/a,24.9,n/a,16.2,n/a,23.0,n/a,21.0,n/a,31.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:dccff7da-3f05-4d19-b30f-135d14b2a434,9235871,dccff7da-3f05-4d19-b30f-135d14b2a434,2025-04-04T05:42:40.427130+00:00,2025-04-04T05:42:40.858937+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2015,n/a,n/a,n/a,Male,Sex,n/a,n/a,n/a,n/a,24.5,n/a,4.1,n/a,24.0,n/a,19.4,n/a,17.8,n/a,11.6,n/a,13.2,n/a,25.7,n/a,41.0,n/a,20.7,n/a,38.3,n/a,25.8,n/a,41.8,n/a,39.6,n/a,40.4,n/a,24.4,n/a,38.0,n/a,40.8,n/a,61.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:6862be51-7407-49d3-a2ed-0e69f8e0e903,9235872,6862be51-7407-49d3-a2ed-0e69f8e0e903,2025-04-04T05:42:40.939983+00:00,2025-04-04T05:42:41.347726+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2018,n/a,n/a,n/a,Male,Sex,n/a,n/a,n/a,n/a,16.8,n/a,2.4,n/a,12.2,n/a,9.6,n/a,16.1,n/a,7.1,n/a,7.1,n/a,15.1,n/a,27.9,n/a,14.3,n/a,21.4,n/a,16.1,n/a,31.2,n/a,32.7,n/a,22.9,n/a,19.0,n/a,27.0,n/a,31.0,n/a,60.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:708cf83a-d28d-40d4-af29-a5694edd5c66,9235873,708cf83a-d28d-40d4-af29-a5694edd5c66,2025-04-04T05:42:41.476472+00:00,2025-04-04T05:42:41.790163+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2021,n/a,n/a,n/a,Male,Sex,n/a,n/a,n/a,n/a,18.5,n/a,3.5,n/a,10.0,n/a,14.6,n/a,15.6,n/a,11.4,n/a,10.1,n/a,21.4,n/a,29.7,n/a,17.6,n/a,23.7,n/a,28.0,n/a,29.9,n/a,31.1,n/a,26.9,n/a,17.3,n/a,27.7,n/a,34.0,n/a,35.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:f3763740-65b1-47ae-a7b9-0b5781265eb2,9235874,f3763740-65b1-47ae-a7b9-0b5781265eb2,2025-04-04T05:42:41.872304+00:00,2025-04-04T05:42:42.273326+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2023,n/a,n/a,n/a,Male,Sex,n/a,n/a,n/a,n/a,15.8,n/a,1.9,n/a,7.1,n/a,12.2,n/a,10.5,n/a,8.1,n/a,8.1,n/a,23.4,n/a,28.2,n/a,13.8,n/a,29.4,n/a,17.1,n/a,27.9,n/a,31.5,n/a,25.4,n/a,16.5,n/a,23.6,n/a,20.9,n/a,32.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:64ffcb40-3f97-4127-9bc2-27dceb0e91d1,9235875,64ffcb40-3f97-4127-9bc2-27dceb0e91d1,2025-04-04T05:42:42.404368+00:00,2025-04-04T05:42:42.720500+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2015,n/a,n/a,n/a,Children,n/a,n/a,n/a,n/a,n/a,33.5,n/a,7.2,n/a,31.8,n/a,26.6,n/a,25.1,n/a,16.9,n/a,19.6,n/a,35.4,n/a,50.8,n/a,29.0,n/a,49.2,n/a,36.0,n/a,52.5,n/a,46.7,n/a,50.5,n/a,34.2,n/a,48.7,n/a,50.4,n/a,68.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:dc5178cf-5e48-437b-97b3-8033852e1c08,9235876,dc5178cf-5e48-437b-97b3-8033852e1c08,2025-04-04T05:42:42.823370+00:00,2025-04-04T05:42:43.310111+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2018,n/a,n/a,n/a,Children,n/a,n/a,n/a,n/a,n/a,23.9,n/a,4.3,n/a,16.5,n/a,15.3,n/a,23.0,n/a,11.2,n/a,11.4,n/a,21.0,n/a,35.4,n/a,20.6,n/a,29.4,n/a,22.6,n/a,40.0,n/a,39.9,n/a,31.6,n/a,26.9,n/a,35.0,n/a,39.8,n/a,67.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:80de402f-503e-4383-94bd-4759f35c7297,9235877,80de402f-503e-4383-94bd-4759f35c7297,2025-04-04T05:42:43.429938+00:00,2025-04-04T05:42:43.951493+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2021,n/a,n/a,n/a,Children,n/a,n/a,n/a,n/a,n/a,26.3,n/a,6.3,n/a,13.7,n/a,21.4,n/a,21.4,n/a,18.0,n/a,16.4,n/a,29.5,n/a,39.9,n/a,25.1,n/a,33.4,n/a,36.9,n/a,39.0,n/a,38.1,n/a,35.6,n/a,24.2,n/a,36.9,n/a,44.1,n/a,42.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:d1d9201c-eb77-4711-9ef3-49943d9967c9,9235878,d1d9201c-eb77-4711-9ef3-49943d9967c9,2025-04-04T05:42:44.054433+00:00,2025-04-04T05:42:44.404521+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2023,n/a,n/a,n/a,Children,n/a,n/a,n/a,n/a,n/a,23.4,n/a,3.6,n/a,10.2,n/a,19.6,n/a,15.6,n/a,13.5,n/a,13.4,n/a,33.0,n/a,37.9,n/a,21.2,n/a,40.7,n/a,25.7,n/a,37.7,n/a,39.9,n/a,35.0,n/a,24.2,n/a,32.1,n/a,29.2,n/a,40.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:ba3557b2-213b-4042-bc47-4c7714ec1ba7,9235879,ba3557b2-213b-4042-bc47-4c7714ec1ba7,2025-04-04T05:42:44.489617+00:00,2025-04-04T05:42:44.940009+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2015,n/a,n/a,n/a,Youth,n/a,n/a,n/a,n/a,n/a,20.5,n/a,3.5,n/a,18.9,n/a,16.2,n/a,15.0,n/a,8.6,n/a,10.0,n/a,21.3,n/a,36.7,n/a,18.3,n/a,33.6,n/a,20.4,n/a,37.1,n/a,33.9,n/a,35.1,n/a,20.2,n/a,33.2,n/a,35.7,n/a,56.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:383cf891-e1aa-4ff7-8aef-353be464a883,9235880,383cf891-e1aa-4ff7-8aef-353be464a883,2025-04-04T05:42:45.035310+00:00,2025-04-04T05:42:45.458756+00:00,,,1.1,,,n/a,0,0,True,1463
n/a,1.2.1 Proportion of population living below the national poverty line,n/a,2018,n/a,n/a,n/a,Youth,n/a,n/a,n/a,n/a,n/a,14.7,n/a,1.8,n/a,10.8,n/a,7.8,n/a,14.8,n/a,5.5,n/a,5.2,n/a,13.0,n/a,24.3,n/a,12.2,n/a,18.6,n/a,12.8,n/a,27.4,n/a,31.4,n/a,20.5,n/a,16.6,n/a,25.0,n/a,27.9,n/a,57.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:2ef83040-a1ca-43a2-9c17-ca44b1789fbe,9235881,2ef83040-a1ca-43a2-9c17-ca44b1789fbe,2025-04-04T05:42:45.548193+00:00,2025-04-04T05:42:45.856676+00:00,,,1.1,,,n/a,0,0,True,1463
